38.44	91.41	44.24
38.07	90.50	45.32
37.70	89.59	46.39
37.32	88.68	47.47
36.95	87.78	48.54
36.58	86.87	49.62
36.20	85.96	50.69
35.83	85.05	51.77
35.46	84.15	52.84
35.08	83.24	53.92
34.71	82.33	54.99
34.34	81.43	56.07
33.96	80.52	57.14
33.59	79.61	58.22
33.22	78.70	59.29
32.55	77.11	59.66
31.88	75.52	60.02
31.20	73.94	60.39
30.53	72.35	60.75
29.86	70.76	61.12
29.19	69.17	61.48
28.52	67.58	61.85
27.85	65.99	62.21
27.18	64.40	62.58
26.50	62.81	62.94
25.83	61.22	63.31
25.16	59.63	63.67
24.49	58.04	64.04
23.82	56.45	64.40
23.15	54.86	64.77
22.48	53.27	65.13
21.81	51.68	65.50
21.13	50.09	65.86
20.46	48.50	66.23
19.79	46.91	66.59
19.12	45.32	66.96
18.45	43.73	67.32
17.78	42.15	67.69
17.11	40.56	68.05
16.44	38.97	68.42
15.76	37.38	68.78
15.09	35.79	69.15
14.42	34.20	69.51
13.75	32.61	69.88
13.08	31.02	70.24
13.54	32.12	70.61
14.00	33.22	70.41
14.47	34.32	70.21
14.93	35.42	70.01
15.39	36.53	69.81
15.86	37.63	69.61
16.32	38.73	69.41
16.78	39.83	69.22
17.25	40.93	69.02
17.71	42.03	68.82
18.17	43.13	68.62
18.63	44.24	68.42
19.10	45.34	68.22
19.56	46.44	68.02
20.02	47.54	67.82
20.49	48.64	67.62
20.95	49.74	67.42
21.41	50.84	67.22
21.88	51.95	67.02
22.34	53.05	66.82
22.80	54.15	66.62
23.26	55.25	66.43
23.73	56.35	66.23
24.19	57.45	66.03
24.65	58.55	65.83
25.12	59.66	65.63
25.58	60.76	65.43
26.04	61.86	65.23
26.50	62.96	65.03
26.97	64.06	64.48
27.43	65.16	63.93
28.32	66.51	63.38
29.21	67.86	62.82
30.10	69.21	62.27
31.00	70.56	61.72
31.89	71.91	61.17
32.78	73.26	60.62
33.67	74.61	60.07
34.56	75.96	59.51
35.45	77.31	58.96
36.34	78.67	58.41
37.23	80.02	57.86
38.13	81.37	57.31
39.02	82.72	56.76
39.91	84.07	56.20
40.80	85.42	55.65
41.69	86.77	55.10
42.58	88.12	54.55
43.47	89.47	54.00
44.36	90.82	53.45
45.25	92.17	52.89
46.15	93.52	52.34
47.04	94.87	51.79
47.93	96.22	51.24
48.82	97.57	50.69
49.71	98.92	50.14
50.60	100.27	49.58
51.49	101.62	49.03
